,title_list,price_list
0,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)","₹10,499"
1,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","₹10,499"
2,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","₹12,499"
3,"APPLE iPhone 11 (White, 128 GB)","₹54,900"
4,"realme C21Y (Cross Blue, 32 GB)","₹9,499"
5,"APPLE iPhone 11 (White, 64 GB)","₹41,999"
6,"realme C21Y (Cross Black, 64 GB)","₹10,599"
7,"realme C11 2021 (Cool Grey, 64 GB)","₹8,999"
8,"realme C11 2021 (Cool Blue, 32 GB)","₹7,499"
9,"realme C11 2021 (Cool Grey, 32 GB)","₹7,499"
10,"Infinix HOT 12 Play (Champagne Gold, 64 GB)","₹8,999"
11,"realme C21Y (Cross Black, 32 GB)","₹9,499"
12,"realme C11 2021 (Cool Blue, 64 GB)","₹8,999"
13,"realme 8i (Space Purple, 64 GB)","₹14,049"
14,"Infinix HOT 12 Play (Horizon Blue, 64 GB)","₹8,999"
15,"APPLE iPhone 11 (Black, 128 GB)","₹54,900"
16,"realme C21Y (Cross Blue, 64 GB)","₹10,599"
17,"APPLE iPhone 11 (Black, 64 GB)","₹41,999"
18,"Infinix HOT 12 Play (Daylight Green, 64 GB)","₹8,999"
19,"Infinix HOT 12 Play (Racing Black, 64 GB)","₹8,999"
20,"REDMI 9i Sport (Coral Green, 64 GB)","₹8,999"
21,"REDMI Note 11 SE (Without Charger) (Thunder Purple, 64 GB)","₹13,999"
22,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹11,999"
23,"realme 8i (Space Purple, 128 GB)","₹16,009"
24,"REDMI 9i Sport (Coral Green, 64 GB)","₹8,999"
25,"MOTOROLA g31 (Baby Blue, 64 GB)","₹10,499"
26,"realme 9 5G (Supersonic Black, 128 GB)","₹17,499"
27,"realme C31 (Dark Green, 32 GB)","₹9,299"
28,"realme C31 (Dark Green, 64 GB)","₹10,079"
29,"realme C31 (Light Silver, 32 GB)","₹9,299"
30,Cellecor E1,"₹1,229"
31,"realme 9 5G (Supersonic Blue, 64 GB)","₹15,999"
32,"realme 9 5G (Supersonic Black, 64 GB)","₹15,999"
33,"realme 9 5G (Stargaze White, 64 GB)","₹16,049"
34,"realme 9 5G (Meteor Black, 64 GB)","₹16,049"
35,"realme 8s 5G (Universe Purple, 128 GB)","₹18,049"
36,"APPLE iPhone 13 (Pink, 128 GB)","₹69,999"
37,"MOTOROLA G60 (Moonless, 128 GB)","₹14,999"
38,"vivo T1X (Gravity Black, 64 GB)","₹11,999"
39,"Infinix Smart 5A (Midnight Black, 32 GB)","₹6,599"
40,"realme Narzo 50A (Oxygen Blue, 64 GB)","₹9,999"
41,"realme Narzo 50A (Oxygen Green, 64 GB)","₹9,999"
42,"REDMI 9i Sport (Carbon Black, 64 GB)","₹8,999"
43,"vivo T1 5G (Rainbow Fantasy, 128 GB)","₹15,990"
