Title,Location,Price,Area
                        Apartment Bosboom Toussaintstraat                            ,            1054 AT Amsterdam (Helmersbuurt)        ,"                €4,500 per month            ",155 m²
                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²
                        House Tolstraat                            ,            1073 SC Amsterdam (Zuid Pijp)        ,"                €2,500 per month            ",82 m²
                        Apartment Van Leijenberghlaan 151                            ,            1082 GD Amsterdam (Buitenveldert-Oost)        ,"                €2,100 per month            ",128 m²
                        Apartment Hoofdweg                            ,            1056 CR Amsterdam (Van Galenbuurt)        ,"                €2,500 per month            ",83 m²
                        Apartment Amazonenstraat                            ,            1076 LL Amsterdam (Stadionbuurt)        ,"                €2,475 per month            ",78 m²
                        Apartment Paramariboplein 2 2                            ,            1058 AS Amsterdam (Westindische Buurt)        ,"                €2,800 per month            ",97 m²
                        House Madurastraat                            ,            1094 GE Amsterdam (Indische Buurt West)        ,"                €2,595 per month            ",95 m²
                        Apartment Holendrechtstraat                            ,            1078 TV Amsterdam (IJselbuurt)        ,"                €1,850 per month            ",70 m²
                        House Kantershof 27                            ,"            1104 GB Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,450 per month            ",93 m²
                        Studio Krommertstraat                            ,            1056 TS Amsterdam (Geuzenbuurt)        ,"                €1,150 per month            ",25 m²
                        Apartment John Blankensteinstraat                            ,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,500 per month            ",50 m²
                        Studio Haarlemmermeerstraat 30 V                            ,            1058 KA Amsterdam (Hoofddorppleinbuurt)        ,"                €1,295 per month            ",37 m²
                        Apartment Herenstraat 4 C                            ,            1015 CA Amsterdam (Grachtengordel-West)        ,"                €1,950 per month            ",55 m²
                        Apartment Tweede Jacob van Campenstraat 94 HS-L                            ,            1073 XW Amsterdam (Oude Pijp)        ,"                €1,750 per month            ",42 m²
                        Apartment Eerste Helmersstraat 121 1                            ,            1054 DN Amsterdam (Helmersbuurt)        ,"                €2,250 per month            ",80 m²
                        Apartment Buiksloterweg 35 A                            ,            1031 CD Amsterdam (Volewijck)        ,"                €2,650 per month            ",110 m²
                        Apartment Marco Polostraat                            ,            1057 WR Amsterdam (Hoofdweg e.o.)        ,"                €1,850 per month            ",55 m²
                        Apartment Andreasplein                            ,            1058 GD Amsterdam (Westlandgracht)        ,"                €2,350 per month            ",90 m²
                        Apartment Rustenburgerstraat 145                            ,            1073 EX Amsterdam (Nieuwe Pijp)        ,"                €2,450 per month            ",87 m²
                        Apartment Frederiksplein 24 3                            ,            1017 XM Amsterdam (De Weteringschans)        ,"                €2,450 per month            ",95 m²
                        Apartment Karel du Jardinstraat 45 1                            ,            1072 SG Amsterdam (Nieuwe Pijp)        ,"                €2,100 per month            ",60 m²
                        House Pieter A. van Heijningestraat 3                            ,            1035 SV Amsterdam (Kadoelen)        ,"                €2,000 per month            ",98 m²
                        Apartment Amstel                            ,            1018 EK Amsterdam (Weesperbuurt/Plantage)        ,"                €1,900 per month            ",75 m²
                        Apartment Wijnand Nuijenstraat 111                            ,            1061 WB Amsterdam (Overtoomse Veld)        ,"                €2,050 per month            ",86 m²
                        Apartment Middenweg                            ,            1098 AE Amsterdam (Middenmeer)        ,"                €3,800 per month            ",154 m²
                        Apartment Herengracht 579 3                            ,            1017 CD Amsterdam (Grachtengordel-Zuid)        ,"                €3,950 per month            ",130 m²
                        Apartment 's-Gravesandestraat 94                            ,            1091 DG Amsterdam (Oosterparkbuurt)        ,"                €1,750 per month            ",55 m²
                        Apartment Olympiaplein                            ,            1077 CS Amsterdam (Apollobuurt)        ,"                €2,450 per month            ",110 m²
                        Apartment Da Costakade                            ,            1053 XB Amsterdam (Da Costabuurt)        ,"                €6,500 per month            ",149 m²
                        Apartment Kuipersstraat                            ,            1073 EV Amsterdam (Nieuwe Pijp)        ,"                €2,100 per month            ",60 m²
                        Apartment Lindengracht 169 A                            ,            1015 KE Amsterdam (Jordaan)        ,"                €2,250 per month            ",68 m²
